a_name,title,tempo,energy,danceability,loudness,valence,acousticness,Mood
Missing Persons,Noticeable One,129.633,0.895,0.651,-10.824,0.861,0.0114,Happy
Gigi D'Agostino,Those Were the Days,134.982,0.515,0.755,-8.808,0.46,0.0727,Happy
Under the Influence of Giants,Heaven Is Full,124.04,0.85,0.695,-6.384,0.734,0.00117,Sad
Silent Force,The Blade,134.995,0.963,0.474,-5.063,0.112,0.0000165,Angry
Marissa Nadler,Under an Old Umbrella,176.55,0.511,0.222,-7.489,0.391,0.729,Sad
Danni Carlos,Inbetween Days,136.052,0.669,0.669,-6.075,0.726,0.648,Sad
The Grass Roots,Midnight Confessions,134.637,0.593,0.692,-10.985,0.836,0.0204,Happy
Orchestral Manoeuvres in the Dark,Burning,113.848,0.942,0.605,-8.199,0.81,0.0607,Sad
Martina McBride,Blessed,114.993,0.629,0.587,-7.439,0.425,0.183,Sad
Galt MacDermot,The Flesh Failures (Let The Sunshine In),106.237,0.859,0.56,-9.127,0.468,0.045,Angry
The Ataris,Takeoffs and Landings,179.926,0.962,0.407,-3.842,0.56,0.000839,Happy
Finger Eleven,Them vs. You vs. Me,114.074,0.544,0.577,-9.939,0.38,0.682,Angry
Neil Diamond,At the Movies,133.992,0.784,0.772,-7.905,0.66,0.201,Happy
The Exies,Ugly,169.552,0.941,0.214,-2.983,0.17,0.000441,Angry
Train,Landmine,76.179,0.809,0.466,-5.051,0.438,0.452,Sad
Time Again,Movin' On,176.017,0.941,0.396,-5.061,0.491,0.00000308,Happy
Luke Bryan,We Rode in Trucks,145.994,0.713,0.544,-6.365,0.665,0.0291,Sad
Jack Johnson,We're Going to Be Friends,105.279,0.305,0.666,-12.253,0.706,0.833,Happy
From Autumn to Ashes,Chloroform Perfume,79.718,0.508,0.418,-9.2,0.169,0.0506,Sad
Carla Bruni,Before the World Was Made,120.025,0.297,0.619,-13.185,0.123,0.565,Sad
Barclay James Harvest,Medicine Man,71.199,0.344,0.333,-14.425,0.355,0.517,Angry
Sybreed,Nomenklatura,120.068,0.858,0.58,-5.655,0.227,0.0000422,Angry
Martin L. Gore,Stardust,105.043,0.456,0.612,-13.351,0.329,0.333,Happy
XTC,Meccanik Dancing (Oh We Go!),127.007,0.898,0.557,-4.158,0.876,0.00203,Relax
Go-Go's,Let's Get Together,161.987,0.869,0.477,-3.788,0.586,0.00336,Happy
Free,The Stealer,175.228,0.581,0.351,-12.618,0.759,0.0228,Happy
Carter the Unstoppable Sex Machine,The Only Living Boy in New Cross,143.996,0.783,0.529,-7.467,0.518,0.0842,Sad
Gossip,Sweet Baby,126.047,0.941,0.562,-3.554,0.711,0.431,Angry
A Flock of Seagulls,Space Age Love Song,139.959,0.744,0.447,-4.613,0.552,0.0000362,Happy
The House of Love,Hope,127.975,0.721,0.56,-6.833,0.569,0.04,Sad
Kenny Loggins,Just Breathe,100.915,0.668,0.556,-10.778,0.256,0.00108,Happy
Domine,The Fall of the Spiral Tower,173.763,0.965,0.35,-4.825,0.21,0.0000117,Angry
Heideroosjes,Scapegoat Revolution,127.083,0.972,0.443,-4.302,0.592,0.0000424,Angry
Marvin Gaye,Wherever I Lay My Hat (That's My Home),121.403,0.593,0.675,-10.114,0.892,0.0573,Happy
Helen Love,Debbie Loves Joey,171.99,0.84,0.418,-3.868,0.942,0.0000968,Happy
Mario Lanza,O Sole Mio,81.315,0.345,0.144,-12.558,0.211,0.917,Sad
Ms. Jade,Jade's a Champ,82.279,0.766,0.639,-4.64,0.686,0.473,Angry
Alias,Angel of Solitude,171.185,0.664,0.415,-8.238,0.0386,0.595,Angry
Des'ree,Caring World,185.444,0.571,0.525,-13.241,0.329,0.203,Sad
The End,Orthodox Unparalleled,144.58,0.727,0.329,-8.367,0.0549,0.000105,Angry
Cher,Please Don't Tell Me,137.938,0.22,0.446,-13.906,0.441,0.0537,Sad
Barbara Mason,Yes I'm Ready,173.142,0.377,0.237,-8.798,0.479,0.902,Happy
Across Five Aprils,My Eyes Murdered Charles Townsend,95.094,0.978,0.224,-1.017,0.181,0.000129,Angry
Metro Station,True to Me,75.008,0.813,0.503,-5.944,0.632,0.000858,Happy
The Sensational Alex Harvey Band,Vambo,139.845,0.755,0.331,-9.942,0.531,0.241,Angry
Red Hot Chili Peppers,Higher Ground,140.404,0.979,0.476,-3.506,0.416,0.0014,Happy
The Five Keys,Wisdom of a Fool,92.417,0.156,0.353,-18.656,0.22,0.922,Sad
Amistades Peligrosas,Menina das favelas,130.881,0.541,0.768,-6.191,0.869,0.701,Happy
Continental Drifters,The Rain Song,121.761,0.779,0.506,-5.639,0.722,0.0363,Happy
Sonny & Cher,You Baby,118.772,0.743,0.465,-7.988,0.429,0.327,Sad
Kingmaker,Stay Free,91.457,0.887,0.47,-7.285,0.576,0.122,Angry
matt pond PA,It Is Safe,133.982,0.835,0.621,-5.536,0.325,0.0125,Sad
The Bouncing Souls,Better Life,126.453,0.995,0.489,-2.004,0.639,0.00166,Happy
autoKratz,Stay the Same,129.943,0.733,0.602,-4.019,0.472,0.0000557,Happy
Drawn and Quartered,Sodomized and Butchered,149.314,0.98,0.263,-5.264,0.225,0.0000741,Angry
W.A.S.P.,Live to Die Another Day,152.938,0.951,0.291,-2.759,0.286,0.0000352,Angry
KRS-One,Ah Yeah,76.971,0.71,0.81,-7.781,0.816,0.0145,Angry
The Exploited,Punk's Not Dead,80.897,0.799,0.341,-12.204,0.233,0.0172,Angry
"Harry Connick, Jr.",Loved By Me,100.736,0.0276,0.445,-21.097,0.0814,0.666,Sad
Fear Factory,Pisschrist,81.507,0.986,0.285,-5.011,0.0443,0.000125,Angry
45 Grave,45 Grave,115.889,0.826,0.381,-9.216,0.158,0.000151,Happy
The Ink Spots,I'll Get By (As long as I Have You),87.022,0.0671,0.412,-21,0.176,0.915,Sad
ABBA,Chiquitita,84.246,0.539,0.53,-8.06,0.38,0.715,Sad
Zero Hour,The Towers of Avarice,127.421,0.872,0.367,-7.119,0.255,0.000515,Angry
Martha Wainwright,Bleeding All Over You,82.44,0.699,0.465,-7.054,0.358,0.248,Sad
Stevie Wonder,All I Do,117.213,0.485,0.848,-16.586,0.88,0.0933,Happy
Catch 22,Motown Cinderella,199.195,0.85,0.345,-7.491,0.773,0.0136,Happy
Uncle Tupelo,Screen Door,109.048,0.359,0.383,-12.709,0.6,0.322,Relax
'Til Tuesday,Love in a Vacuum,123.124,0.638,0.657,-7.992,0.812,0.207,Happy
Ashton Shepherd,I Ain't Dead Yet,95.856,0.588,0.548,-3.587,0.574,0.563,Angry
Bobby Vee,Rubber Ball,144.779,0.492,0.434,-10.116,0.713,0.229,Happy
Jerry Reed,Alabama Jubilee,118.067,0.751,0.707,-12.215,0.964,0.684,Relax
The Mooney Suzuki,Everything's Gone Wrong,170.789,0.964,0.347,-2.292,0.951,0.0498,Happy
Camel,Refugee,117.89,0.537,0.816,-13.481,0.963,0.242,Relax
Honor Society,Magic,118.006,0.877,0.674,-4.837,0.895,0.000994,Happy
Morbid Angel,Caesar's Palace,128.17,0.866,0.257,-7.714,0.242,0.000635,Sad
Thelma Houston,Don't Leave Me This Way,121.065,0.667,0.531,-9.721,0.731,0.0986,Angry
Orgy,Make Up Your Mind,168.075,0.948,0.478,-3.488,0.572,0.0185,Happy
Blind Lemon Jefferson,Rising High Water Blues,105.886,0.0164,0.602,-23.732,0.478,0.991,Sad
Ice MC,Cinema,123.099,0.704,0.842,-11.607,0.856,0.00368,Happy
Bone Thugs-n-Harmony,Tha Crossroads,144.29,0.509,0.679,-7.31,0.534,0.0856,Sad
The Temper Trap,Science of Fear,150.035,0.846,0.466,-6.622,0.211,0.000408,Angry
Dolly Parton,We Used To,145.293,0.13,0.348,-16.242,0.362,0.914,Sad
Morcheeba,Let It Go,164.078,0.824,0.572,-5.125,0.578,0.0785,Relax
Boyz II Men,Silent Night,82.666,0.131,0.19,-19.648,0.081,0.917,Sad
Bette Midler,Big Noise From Winnetka,154.628,0.7,0.377,-13.377,0.401,0.00977,Happy
Carly Binding,So Radiate,94.966,0.776,0.448,-5.063,0.419,0.00244,Angry
The Dead Weather,Looking at the Invisible Man,89.258,0.96,0.509,-2.397,0.534,0.00103,Angry
Hot Hot Heat,Let Me In,144.978,0.968,0.468,-2.934,0.245,0.000286,Sad
Great White,Take Me Down,166.251,0.73,0.316,-6.058,0.538,0.00408,Happy
Jeru the Damaja,You Can't Stop the Prophet,193.596,0.936,0.442,-9.443,0.535,0.337,Angry
Ray Price,Burning Memories,102.574,0.439,0.445,-9.309,0.444,0.887,Sad
Elton John,Burn Down the Mission,121.393,0.651,0.431,-10.125,0.558,0.0981,Sad
Callenish Circle,Mirror Of Serenity,156.681,0.899,0.2,-7.609,0.294,0.0000181,Angry
Yoomiii,A Kiss Is All I Miss,130.02,0.885,0.813,-6.088,0.812,0.161,Happy
Debauchery,Rage of the Bloodbeast,96.098,0.966,0.456,-5.268,0.281,0.00492,Angry
Total Chaos,Initial Distrust,189.897,0.977,0.153,-7.567,0.0602,0.00011,Angry
Van der Graaf Generator,W,88.458,0.505,0.294,-11.194,0.197,0.000437,Relax
Smokie,Relying on You,103.384,0.846,0.676,-5.786,0.755,0.00872,Relax
Rob Zombie,Spookshow Baby,125.023,0.995,0.562,-3.428,0.197,0.0135,Angry
Sick of It All,District,117.789,0.966,0.56,-4.937,0.453,0.00129,Angry
Cannibal Corpse,Addicted to Vaginal Skin,142.341,0.987,0.244,-7.661,0.247,0.0000566,Sad
Adam and The Ants,The Magnificent Five,184.738,0.852,0.475,-5.103,0.901,0.00614,Angry
Matt Wertz,This Moment,74.979,0.466,0.416,-8.098,0.376,0.0764,Sad
Dr. John,Goin' Back to New Orleans,96.621,0.663,0.646,-11.151,0.915,0.262,Relax
Anthrax,Lone Justice,195.556,0.812,0.243,-9.903,0.719,0.0212,Angry
Tift Merritt,I Know Him Too,132.582,0.653,0.622,-7.755,0.585,0.0269,Relax
Pernice Brothers,Water Ban,110.011,0.717,0.493,-4.882,0.472,0.000154,Sad
David Bowie,Do Anything You Say,145.563,0.658,0.519,-7.879,0.899,0.0523,Sad
Rose Cousins,Home,118.715,0.286,0.465,-9.451,0.147,0.837,Sad
Mary Chapin Carpenter,Quittin' Time,115.376,0.799,0.764,-5.422,0.718,0.262,Relax
The Muffs,Big Mouth,165.748,0.864,0.423,-10.659,0.512,0.00281,Angry
10cc,It Doesn't Matter at All,176.19,0.415,0.505,-10.786,0.485,0.285,Relax
Sneaker Pimps,Low Five,147.256,0.868,0.442,-6.917,0.467,0.000946,Happy
Freddie Mercury,Love Kills,126.738,0.669,0.673,-10.728,0.269,0.00131,Sad
Eminem,Shake That,106.995,0.64,0.962,-5.987,0.533,0.0556,Happy
Bigwig,Girl in the Green Jacket,190.48,0.719,0.265,-8.381,0.481,0.00395,Angry
The Clientele,Since K Got Over Me,112.21,0.669,0.525,-9.482,0.679,0.00108,Relax
Fannypack,Nu Nu (Yeah Yeah),125.002,0.755,0.855,-4.828,0.774,0.00137,Happy
The Northern Pikes,Kiss Me You Fool,123.83,0.592,0.607,-11.422,0.71,0.14,Relax
Buddy Holly,Modern Don Juan,132.508,0.477,0.59,-9.194,0.806,0.739,Relax
Five Finger Death Punch,Hard to See,111.992,0.976,0.513,-3.117,0.133,0.00000462,Angry
Edison Glass,Cold Condition,159.961,0.933,0.446,-4.395,0.558,0.00067,Relax
Ida Corr,Lonely Girl,109.996,0.564,0.699,-6.142,0.645,0.157,Sad
Audio Bullys,Gimme That Punk,124.007,0.875,0.702,-4.389,0.617,0.00314,Angry
Bobby Womack,Falling in Love Again,141.469,0.935,0.716,-7.409,0.867,0.0385,Relax
Liam Lynch,Fake Depeche Mode Song,119.982,0.61,0.717,-7.886,0.646,0.147,Sad
Sunset Rubdown,For the Pier (and Dead Shimmering),73.143,0.456,0.309,-6.875,0.293,0.645,Sad
Ultravox,New Europeans,143,0.858,0.629,-7.44,0.882,0.282,Happy
Ann Peebles,I Can't Stand the Rain,160.395,0.387,0.727,-12.333,0.966,0.248,Sad
Altered Images,Idols,132.335,0.612,0.512,-14.387,0.629,0.0247,Angry
Skillz,Move Ya Body,93.062,0.868,0.785,-5.44,0.808,0.0842,Angry
Passion Pit,Live to Tell the Tale,136.004,0.88,0.653,-7.075,0.479,0.279,Relax
Robyn Hitchcock,Cathedral,174.312,0.328,0.388,-9.748,0.648,0.654,Sad
Bad Brains,Coptic Times,128.16,0.984,0.256,-11.399,0.13,0.00063,Angry
Kaddisfly,Silk Road,153.99,0.909,0.443,-5.066,0.331,0.028,Sad
Linda Ronstadt,Someone to Lay Down Beside Me,150.329,0.524,0.471,-10.008,0.347,0.48,Relax
Eurythmics,Put The Blame On Me,123.696,0.973,0.686,-3.966,0.965,0.121,Angry
Blake Shelton,Playboys of the Southwestern World,145.87,0.829,0.535,-4.432,0.712,0.112,Happy
The Pointer Sisters,Jump (For My Love),134.395,0.705,0.86,-12.514,0.854,0.107,Happy
The Envy Corps,Before the Gold Rush,89.991,0.537,0.479,-8.058,0.212,0.285,Angry
88 Fingers Louie,Blink,153.139,0.962,0.398,-6.237,0.766,0.000238,Angry
Bic Runga,Blue Blue Heart,136.096,0.426,0.498,-10.368,0.263,0.814,Sad
Poe,Control,161.804,0.839,0.408,-6.916,0.395,0.0933,Angry
Ben's Brother,Stuttering (Kiss Me Again),110.049,0.807,0.569,-5.447,0.351,0.0584,Relax
Sophie B. Hawkins,Damn I Wish I Was Your Lover,95.032,0.781,0.546,-9.439,0.539,0.22,Sad
Jedi Mind Tricks,Raw Is War 2003,91.773,0.693,0.55,-5.503,0.101,0.146,Angry
Counterfit,Feel The Ride,138.638,0.61,0.64,-6.966,0.587,0.00586,Happy
Rise Against,Historia calamitatum,193.436,0.948,0.169,-3.702,0.597,0.000478,Angry
Middle of the Road,Sacramento,136.229,0.758,0.684,-11.291,0.547,0.109,Relax
Testament,The Sermon,78.074,0.909,0.37,-8.805,0.551,0.0000576,Angry
Rodney Crowell,Glasgow Girl,110.179,0.564,0.763,-8.559,0.431,0.303,Relax
Hello Saferide,The Quiz,90.542,0.364,0.676,-10.251,0.721,0.791,Angry
Iration,Falling,125.01,0.416,0.799,-9.547,0.818,0.00765,Happy
James Brown,Try Me,102.08,0.265,0.683,-12.735,0.647,0.933,Sad
Neil Diamond,Ain't No Way,136.349,0.322,0.661,-16.128,0.965,0.782,Relax
Iron Butterfly,Most Anything You Want,116.821,0.75,0.45,-8.049,0.778,0.0102,Happy
Minnie Driver,Everything I've Got in My Pocket,125.981,0.54,0.522,-7.983,0.162,0.452,Relax
Musetta,Red Star,108.021,0.477,0.711,-10.369,0.585,0.0078,Sad
Voice of the Beehive,Beauty to My Eyes,85.653,0.661,0.467,-8.584,0.685,0.0373,Relax
Tony Sly,Fireball,125.961,0.272,0.693,-9.368,0.289,0.797,Sad
Johnny Paycheck,Take This Job And Shove It,137.132,0.364,0.763,-14.244,0.715,0.556,Angry
Slash's Snakepit,Soma City Ward,91.212,0.969,0.38,-4.655,0.395,0.000731,Angry
Tina Cousins,Hymn,137.976,0.874,0.619,-7.963,0.455,0.0253,Happy
Kitty Wells,Amigo's Guitar,117.202,0.204,0.569,-12.697,0.444,0.911,Relax
Marilyn Manson,Dogma,176.008,0.895,0.47,-5.231,0.207,0.000562,Sad
Daryle Singletary,That's Where You're Wrong,71.736,0.418,0.458,-8.641,0.366,0.507,Sad
Capercaillie,Hope Springs Eternal,160.072,0.725,0.66,-10.524,0.83,0.355,Relax
Flyleaf,Broken Wings,166.212,0.869,0.359,-4.159,0.288,0.00277,Relax
Motorpsycho,Taifun,124.043,0.266,0.53,-11.498,0.0378,0.00709,Sad
Plasmatics,You're a Zombie,137.006,0.898,0.359,-6.029,0.213,0.0422,Angry
Interpol,C'mere,125.357,0.936,0.403,-3.986,0.703,0.0000818,Happy
Bread,Lay Your Money Down,137.04,0.549,0.616,-9.938,0.875,0.685,Happy
Gabe Dixon Band,Beauty of the Sea,112.795,0.241,0.495,-11.239,0.153,0.884,Relax
Knapsack,Boxing Gloves,106.966,0.619,0.707,-10.097,0.252,0.00887,Sad
Severed Heads,Dead Eyes Opened,132.131,0.961,0.664,-8.072,0.86,0.000984,Happy
Ciccone Youth,Making the Nature Scene,166.819,0.779,0.665,-15.039,0.512,0.00099,Angry
Bill Monroe,Will You Be Loving Another Man,122.154,0.248,0.7,-17.32,0.675,0.977,Relax
Mellow Man Ace,Mentirosa,113.592,0.505,0.966,-14.762,0.826,0.0678,Angry
Karla Bonoff,Somebody's Eyes,122.882,0.502,0.847,-8.427,0.777,0.247,Relax
Mastodon,Trainwreck,135.224,0.985,0.217,-3.923,0.134,0.0000695,Sad
Paralysed Age,Exile,120.018,0.869,0.621,-9.302,0.446,0.00152,Sad
Milemarker,Food for Worms,142.674,0.875,0.153,-4.466,0.319,0.0000332,Angry
The Masters Apprentices,Because I Love You,152.499,0.599,0.392,-8.867,0.378,0.344,Sad
"Harry Connick, Jr.",Just Kiss Me,83.784,0.719,0.514,-9.202,0.695,0.428,Happy
Coldplay,Have Yourself a Merry Little Christmas,97.585,0.0824,0.421,-13.458,0.0597,0.974,Relax
Joan Osborne,Angels We Have Heard On High,90.342,0.238,0.406,-9.953,0.269,0.875,Relax
Darkthrone,Stylized Corpse,135.196,0.961,0.154,-4.733,0.104,0.0000964,Angry
Art Garfunkel,Barbara Allen,61.389,0.275,0.183,-11.875,0.286,0.861,Sad
The Animals,Club A Go-Go,73.98,0.873,0.526,-5.017,0.651,0.629,Happy
Ozzy Osbourne,Black Illusion,133.886,0.813,0.542,-6.116,0.507,0.000547,Angry
Josh Ritter,Good Man,106.193,0.678,0.625,-6.798,0.448,0.00371,Sad
Tracy Bonham,The Real,144.269,0.478,0.383,-9.855,0.285,0.0676,Relax
Andrea Bocelli,I Believe,81.972,0.285,0.227,-9.681,0.212,0.911,Sad
Tahiti 80,Wallpaper for the Soul,160.361,0.565,0.576,-10.722,0.354,0.0624,Sad
Joe Firstman,"Now You're Gorgeous, Now You're Gone",137.808,0.702,0.54,-3.711,0.213,0.0493,Sad
Only Living Witness,Total Particle Reversal,176.906,0.952,0.0786,-5.933,0.29,0.00000762,Angry
Black Label Society,Say What You Will,148.41,0.901,0.425,-4.682,0.47,0.000302,Angry
The Association,Six Man Band,116.841,0.394,0.569,-17.501,0.629,0.25,Relax
Zero Hour,The Ghosts of Dawn,139.139,0.363,0.297,-11.475,0.066,0.517,Sad
Blind Pilot,"Go On, Say It",133.875,0.59,0.578,-8.509,0.776,0.637,Relax
Severe Torture,Misanthropic Carnage,106.675,0.973,0.262,-6.462,0.207,0.0000548,Angry
Guns N' Roses,Street of Dreams,170.122,0.657,0.358,-7.959,0.207,0.183,Sad
Articles of Faith,False Security,175.084,0.988,0.164,-4.803,0.174,0.0000442,Angry
Steeleye Span,Fighting for Strangers,148.003,0.582,0.792,-13.982,0.771,0.0218,Happy
Kenny Rankin,It Had to Be You,114.499,0.112,0.724,-14.214,0.447,0.974,Sad
Guardian,My Queen Esther,179.849,0.864,0.347,-4.577,0.573,0.0023,Sad
Agonoize,Pavillon 5,101.274,0.961,0.292,-6.968,0.177,0.0181,Angry
Peter Bradley Adams,One Foot Down,74.456,0.443,0.458,-7.811,0.357,0.618,Relax
AFI,Prelude 12/21,74.938,0.657,0.599,-9.43,0.519,0.104,Sad
Alice Peacock,I Hear You Say,173.918,0.658,0.399,-6.744,0.793,0.0361,Relax
Butthole Surfers,Fast,188.11,0.791,0.219,-12.039,0.741,0.137,Angry
Pussycat,My Broken Souvenirs,106.309,0.4,0.447,-7.726,0.415,0.777,Sad
Saint Etienne,Kiss and Make Up,112.919,0.686,0.677,-14.067,0.843,0.00465,Relax
The Doobie Brothers,Too High a Price,107.122,0.865,0.575,-6.993,0.584,0.00265,Happy
Lisa Germano,We Suck,127.467,0.23,0.385,-15.562,0.2,0.909,Sad
Deep Purple,No One Came,124.357,0.778,0.566,-8.539,0.475,0.00321,Angry
Nightwish,Sacrament of Wilderness,145.498,0.921,0.427,-7.121,0.488,0.00000624,Angry
Anja Garbarek,This Momentous Day,119.953,0.238,0.613,-10.583,0.226,0.425,Happy
Dolly Parton,Heartbreak Express,165.285,0.67,0.509,-9.599,0.763,0.447,Sad
Joan Baez,Don't Think Twice It's Alright,96.058,0.592,0.494,-10.377,0.493,0.815,Relax
Émilie Simon,Ice Girl,125.012,0.655,0.634,-9.267,0.466,0.11,Relax
Ian Dury,Have a Word,103.2,0.665,0.646,-12.077,0.816,0.656,Relax
River City Rebels,No Easy Way Out,142.95,0.829,0.461,-3.825,0.821,0.0624,Angry
Saliva,Back Into Your System,158.007,0.844,0.408,-4.521,0.556,0.00224,Happy
Muse,The Groove,101.792,0.844,0.289,-5.987,0.505,0.00000635,Angry
Her Space Holiday,Sleepy California,85.023,0.622,0.556,-7.212,0.353,0.088,Sad
Webb Pierce,It's Been So Long,143.354,0.42,0.679,-6.844,0.831,0.72,Sad
Umphrey's McGee,40's Theme,101.706,0.86,0.575,-8.632,0.601,0.202,Angry
Gary Moore,Wild Frontier,130.035,0.822,0.479,-6.412,0.562,0.00434,Angry
Rise Against,Survive,102.048,0.976,0.294,-4.183,0.442,0.000127,Angry
ABBA,Kisses of Fire,135.442,0.751,0.592,-6.868,0.686,0.166,Happy
Chapterhouse,Autosleeper,88.376,0.675,0.256,-7.733,0.399,0.0008,Angry
Disillusion,A Day by the Lake,116.092,0.963,0.519,-5.352,0.1,0.0164,Happy
Charles Brown,"Merry Christmas, Baby",79.774,0.257,0.64,-13.51,0.327,0.875,Happy
War of Ages,Only the Strong Survive,138.764,0.937,0.341,-5.755,0.338,0.000259,Angry
Doc Watson,My Home's Across the Blue Ridge Mountains,110.045,0.419,0.538,-15.934,0.618,0.695,Sad
Jethro Tull,Dark Ages,175.413,0.732,0.306,-9.638,0.32,0.00908,Angry
Brand Nubian,Straight Outta Now Rule,84.588,0.823,0.539,-7.301,0.394,0.0519,Angry
Clawfinger,Point of No Return,119.98,0.938,0.579,-4.844,0.376,0.0000845,Angry
Immortal Technique,Peruvian Cocaine,86.276,0.631,0.686,-7.458,0.65,0.583,Sad
Carole King,Carry Your Load,117.153,0.133,0.624,-17.898,0.479,0.934,Relax
Meredith Brooks,The Look,125.102,0.618,0.781,-8.587,0.844,0.00925,Happy
Machine Head,Clenching the Fists of Dissent,137.365,0.986,0.26,-5.22,0.0379,0.000119,Angry
Shai,Comforter,121.897,0.383,0.738,-12.761,0.482,0.00645,Sad
The Partridge Family,It Sounds Like You're Saying Hello,114.471,0.499,0.541,-8.159,0.554,0.737,Happy
Beach House,Gila,130.684,0.26,0.516,-10.475,0.338,0.283,Sad
Nick Cave & The Bad Seeds,Deanna,134.392,0.94,0.415,-4.874,0.439,0.0049,Angry
Kris Kristofferson,Smile at Me Again,80.796,0.724,0.595,-8.435,0.484,0.64,Happy
Tilly and the Wall,Pot Kettle Black,136.136,0.91,0.583,-4.339,0.631,0.104,Angry
Foghat,Sing About Love,138.734,0.943,0.458,-6.34,0.932,0.0241,Happy
Runrig,Lighthouse,117.317,0.844,0.615,-7.774,0.772,0.00665,Sad
John Prine,Taking a Walk,140.005,0.408,0.506,-9.971,0.385,0.513,Relax
Total Chaos,Non-Conformist,116.188,0.942,0.264,-5.168,0.603,0.000232,Angry
Ruby,Salt Water Fish,99.892,0.669,0.592,-10.176,0.556,0.000396,Angry
N.W.A,A Bitch Iz a Bitch,97.176,0.557,0.889,-8.148,0.805,0.0362,Angry
The Meat Purveyors,Without Love,124.256,0.675,0.615,-5.28,0.792,0.547,Sad
The Doors,Twentieth Century Fox,114.208,0.675,0.583,-7.126,0.693,0.316,Happy
Alice Peacock,Taught Me Well,125.149,0.473,0.475,-11.043,0.406,0.746,Relax
Matt Wertz,Counting to 100,87.026,0.794,0.629,-6.095,0.657,0.165,Sad
Whole Wheat Bread,Miss Perfection,101.603,0.941,0.579,-4.41,0.858,0.00232,Angry
Billy Bragg,From a Vauxhall Velox,172.135,0.885,0.263,-5.594,0.819,0.858,Happy
Antony Costa,Shine Your Light,101.935,0.752,0.589,-6.217,0.715,0.0403,Happy
Peter Cetera,Even a Fool Can See,119.565,0.491,0.774,-11.6,0.685,0.345,Relax
The Tears,Imperfection,116.39,0.86,0.313,-4.215,0.259,0.0997,Sad
Celesty,Lord of Mortals,94.963,0.934,0.463,-4.444,0.316,0.0000488,Angry
Grizzly Bear,I Live With You,125.965,0.431,0.3,-8.342,0.0994,0.707,Sad
Sara Gazarek,All or Nothing at All,89.249,0.219,0.405,-11.148,0.194,0.88,Sad
Nirvana,On a Plain,133.379,0.945,0.413,-4.716,0.369,0.000195,Happy
Fightstar,Mono,146.955,0.662,0.382,-6.074,0.0819,0.000181,Relax
Mud,Tiger Feet,93.33,0.914,0.528,-7.233,0.745,0.0991,Happy
Alberta Cross,Low Man,125.875,0.582,0.463,-5.557,0.157,0.148,Sad
Cracker,This Is Cracker Soul,90.562,0.635,0.675,-9.198,0.854,0.0547,Happy
Savage Garden,Santa Monica,124.059,0.387,0.83,-9.498,0.576,0.468,Sad
Jr. Walker & The All Stars,Way Back Home,184.735,0.793,0.354,-5.383,0.839,0.0962,Relax
Sonata Arctica,Zeroes,100.039,0.876,0.497,-4.912,0.359,0.0000132,Angry
The Doobie Brothers,What a Fool Believes,120.651,0.623,0.646,-8.82,0.978,0.274,Sad
Alphaville,Universal Daddy,111.902,0.857,0.578,-10.259,0.905,0.0697,Happy
Bic Runga,Ruby Nights,185.955,0.211,0.268,-16.617,0.122,0.833,Sad
Desmond Dekker,Pickney Gal,113.866,0.495,0.934,-10.304,0.961,0.221,Happy
Leela James,Mistreating Me,72.514,0.454,0.598,-9.09,0.326,0.582,Relax
Tamia,Long Distance Love,109.689,0.444,0.734,-8.497,0.383,0.254,Happy
Anacrusis,Division,109.669,0.928,0.27,-9.684,0.215,0.0000803,Angry
Counting Crows,Accidentally In Love,137.939,0.923,0.554,-3.548,0.808,0.0511,Happy
Lionel Richie,All Night Long (All Night),108.837,0.576,0.736,-12,0.755,0.149,Happy
Dune,Are You Ready To Fly ,164,0.758,0.51,-10.303,0.155,0.0867,Happy
Dead Disco,Automatic ,144.978,0.835,0.453,-6.348,0.429,0.000938,Happy
Blue,Back Some Day,165.026,0.724,0.511,-4.856,0.438,0.113,Happy
The Boy Least Likely To,Be Gentle With Me,108.11,0.838,0.729,-5.729,0.687,0.0194,Happy
Mary J. Blige,Be Happy,92.918,0.715,0.674,-8.525,0.669,0.148,Happy
Blur,Beetlebum,89.571,0.648,0.487,-5.14,0.703,0.0351,Happy
Elvis Costello,Beyond Belief,184.312,0.728,0.291,-9.218,0.685,0.0614,Happy
MIKA,Big Girl (You Are Beautiful),115.99,0.782,0.802,-6.206,0.831,0.0425,Happy
Kelis,Bossy,84.009,0.624,0.906,-5.556,0.775,0.000185,Happy
Amos Lee,Bottom Of the Barrel,178.13,0.346,0.611,-12.689,0.539,0.784,Happy
Bright Eyes,Bowl Of Oranges,105.797,0.584,0.332,-11.369,0.0963,0.329,Happy
Tindersticks,Buried Bones,117.681,0.409,0.537,-12.891,0.489,0.544,Happy
Robbie Nevil,C'est La Vie,102.108,0.798,0.729,-12.868,0.565,0.533,Happy
The Bees,Chicken Payback,142.025,0.968,0.534,-3.093,0.943,0.0906,Happy
David Bowie,Chilly Down,145.368,0.848,0.684,-7.387,0.663,0.0421,Happy
Coldplay,Clocks,130.969,0.749,0.577,-7.215,0.261,0.599,Happy
The Fratellis,Creepin Up The Backstairs,122.375,0.963,0.59,-3.911,0.294,0.000265,Happy
Jump5,Do Ya,104.045,0.923,0.547,-3.085,0.693,0.0243,Happy
Bobby McFerrin,Don't Worry Be Happy,68.837,0.166,0.675,-22.602,0.747,0.88,Happy
